domain	heuristic	cvg
benchmarks/blocksworld	FF-h0	32.9
benchmarks/blocksworld	PPsaFF-glcl-h-1	34.4
benchmarks/blocksworld	PPsaFF-sync-h-1	35.0
benchmarks/depot	FF-h0	10.3
benchmarks/depot	PPsaFF-glcl-h-1	11.8
benchmarks/depot	PPsaFF-sync-h-1	10.5
benchmarks/driverlog	FF-h0	17.2
benchmarks/driverlog	PPsaFF-glcl-h-1	16.7
benchmarks/driverlog	PPsaFF-sync-h-1	14.0
benchmarks/elevators08	FF-h0	17.5
benchmarks/elevators08	PPsaFF-glcl-h-1	25.1
benchmarks/elevators08	PPsaFF-sync-h-1	29.0
benchmarks/logistics00	FF-h0	20.0
benchmarks/logistics00	PPsaFF-glcl-h-1	19.8
benchmarks/logistics00	PPsaFF-sync-h-1	20.0
benchmarks/openstacks	FF-h0	13.6
benchmarks/openstacks	PPsaFF-glcl-h-1	19.8
benchmarks/openstacks	PPsaFF-sync-h-1	14.9
benchmarks/rovers	FF-h0	20.0
benchmarks/rovers	PPsaFF-glcl-h-1	20.0
benchmarks/rovers	PPsaFF-sync-h-1	20.0
benchmarks/satellites	FF-h0	20.0
benchmarks/satellites	PPsaFF-glcl-h-1	19.7
benchmarks/satellites	PPsaFF-sync-h-1	20.0
benchmarks/woodworking08	FF-h0	 6.9
benchmarks/woodworking08	PPsaFF-glcl-h-1	 7.9
benchmarks/woodworking08	PPsaFF-sync-h-1	 2.9
benchmarks/zenotravel	FF-h0	19.0
benchmarks/zenotravel	PPsaFF-glcl-h-1	19.0
benchmarks/zenotravel	PPsaFF-sync-h-1	16.9
